fid,nom_festival,domaine,complement_domaine,mois_habituel,site_web,latitude,longitude,com_code,com_name,dep_name,dep_code
"44",Marmaille,Pluridisciplinaire Spectacle vivant,Jeune public,octobre,www.lillicojeunepublic.fr,"48.129564","-1.656246","35238",Rennes,Ille-et-Vilaine,"35"
"45",Festival théâtre à tout âge,Théâtre,Jeune public,décembre,https://www.tres-tot-theatre.com/,"47.995992","-4.099248","29232",Quimper,Finistère,"29"
"46",Jazz in fougeres,Musiques actuelles,"Jazz, blues et musiques improvisées",mars,www.le-coquelicot.fr/,"48.349833","-1.203868","35115",Fougères,Ille-et-Vilaine,"35"
"47",Jazz o chateau,Musiques actuelles,"Jazz, blues et musiques improvisées",mai,www.jazzochateau.fr,"48.663415","-2.87194","22377",Tréveneuc,Côtes-d'Armor,"22"
"48",Jazz in plescop,Musiques actuelles,"Jazz, blues et musiques improvisées",août,www.jazzinplescop.fr,"47.698446","-2.79991","56158",Plescop,Morbihan,"56"
"49",Jazz in langourla,Musiques actuelles,"Jazz, blues et musiques improvisées",août,www.jazzinlangourla.com,"48.282272","-2.416486","22046",Le Mené,Côtes-d'Armor,"22"
"50",Jazz en place,Musiques actuelles,"Jazz, blues et musiques improvisées",août,www.jazzenplace.fr,"48.453628","-2.042542","22050",Dinan,Côtes-d'Armor,"22"
"51",Jazz à l'ouest,Musiques actuelles,"Jazz, blues et musiques improvisées",novembre,www.jazzalouest.com,"48.083551","-1.692068","35238",Rennes,Ille-et-Vilaine,"35"
"52",Jazz à l'étage,Musiques actuelles,"Jazz, blues et musiques improvisées",février,www.jazzaletage.com,"48.637141","-2.017306","35288",Saint-Malo,Ille-et-Vilaine,"35"
"53",Malguenac festival,Musiques actuelles,"Jazz, blues et musiques improvisées",août,www.festival-malguenac.fr,"48.079449","-3.058854","56125",Malguénac,Morbihan,"56"
"54",Blues des deux rivieres,Musiques actuelles,"Jazz, blues et musiques improvisées",octobre,www.festival-blues-bretagne.fr,"48.543691","-3.395715","22005",Belle-Isle-en-Terre,Côtes-d'Armor,"22"
"55",Atlantique jazz festival,Musiques actuelles,"Jazz, blues et musiques improvisées",septembre,www.atlantiquejazzfestival.com,"48.397335","-4.475004","29019",Brest,Finistère,"29"
"56",Jazz a l'amiraute,Musiques actuelles,"Jazz, blues et musiques improvisées",juillet,https://www.jazzalamiraute.fr/,"48.5874015","-2.5520031","22186",Pléneuf-Val-André,Côtes-d'Armor,"22"
"57",Blues en rade,Musiques actuelles,"Jazz, blues et musiques improvisées",avril,https://sites.google.com/view/bluesenrade,"47.726574","-3.341325","56118",Locmiquélic,Morbihan,"56"
"58",Montfort blues festival,Musiques actuelles,"Jazz, blues et musiques improvisées",novembre,https://roazhonblues.wordpress.com/montfort-blues-festival/,"48.140956","-1.95934","35188",Montfort-sur-Meu,Ille-et-Vilaine,"35"
"59",Jazz'y krampouezh,Musiques actuelles,"Jazz, blues et musiques improvisées",juillet,http://www.jazzy-krampouezh.fr/,"47.8000582","-3.7652931","29153",Névez,Finistère,"29"
"60",Fest jazz a chateauneuf du faou,Musiques actuelles,"Jazz, blues et musiques improvisées",juillet,http://www.fest-jazz.com,"48.18616","-3.813205","29027",Châteauneuf-du-Faou,Finistère,"29"
"61",Blues au château,Musiques actuelles,"Jazz, blues et musiques improvisées",août,http://www.bluesauchateau.com/,"48.132603","-2.66253","22039",La Chèze,Côtes-d'Armor,"22"
"62",Les fanfarfelues,Musiques actuelles,"Jazz, blues et musiques improvisées",août,http://lesfanfarfelues.bzh,"48.124382","-1.214276","35360",Vitré,Ille-et-Vilaine,"35"
"63",Cambrouss'ries,Divers Spectacle vivant,Humour,mars,http://art-maure-spectacles.com,"47.890878","-1.991156","35168",Val d'Anast,Ille-et-Vilaine,"35"
"64",Cultures hip hop,Pluridisciplinaire Spectacle vivant,Danses et musiques urbaines,octobre,www.cultureshiphopfestival.com,"47.985412","-4.120617","29232",Quimper,Finistère,"29"
"65",La rue rale,Transdisciplinaire,Cultures urbaines,juin,https://www.facebook.com/laruerale/,"47.634455","-2.164165","56001",Allaire,Morbihan,"56"
"66",Festival circonova,Cirque et Arts de la rue,Cirque,janvier,www.theatre-cornouaille.fr/,"47.995466","-4.11025","29232",Quimper,Finistère,"29"
"67",Gare au gorille,Cirque et Arts de la rue,Cirque,mai,https://www.carre-magique.com,"48.070588","-0.773631","22113",Lannion,Côtes-d'Armor,"22"
"68",Dinard film festival,Cinéma et audiovisuel,Cinémas étrangers,septembre,www.festivaldufilm-dinard.com,"48.635201","-2.052082","35093",Dinard,Ille-et-Vilaine,"35"
"69",Festival de cinéma de douarnenez gouel ar filmou,Cinéma et audiovisuel,Cinémas étrangers,août,www.festival-douarnenez.com,"48.091301","-4.33537","29046",Douarnenez,Finistère,"29"
"70",Ballade avec brassens,Musiques actuelles,Chanson,septembre,http://balladeavecbrassens.fr/,"48.092837","-1.640834","35238",Rennes,Ille-et-Vilaine,"35"
